ano,nome_municipio,sexo,uf,populacao
2021,Alta Floresta D'Oeste,feminino,RO,11013
2021,Alta Floresta D'Oeste,masculino,RO,11503
2021,Ariquemes,feminino,RO,55652
2021,Ariquemes,masculino,RO,55496
2021,Cabixi,feminino,RO,2486
2021,Cabixi,masculino,RO,2581
2021,Cacoal,feminino,RO,44102
2021,Cacoal,masculino,RO,42314
2021,Cerejeiras,feminino,RO,8168
2021,Cerejeiras,masculino,RO,7920
2021,Colorado do Oeste,feminino,RO,7667
2021,Colorado do Oeste,masculino,RO,7546
2021,Corumbiara,feminino,RO,3325
2021,Corumbiara,masculino,RO,3727
2021,Costa Marques,feminino,RO,9101
2021,Costa Marques,masculino,RO,10154
2021,Espigão D'Oeste,feminino,RO,16483
2021,Espigão D'Oeste,masculino,RO,16526
2021,Guajará-Mirim,feminino,RO,23164
2021,Guajará-Mirim,masculino,RO,23766
2021,Jaru,feminino,RO,26295
2021,Jaru,masculino,RO,25174
2021,Ji-Paraná,feminino,RO,66688
2021,Ji-Paraná,masculino,RO,64338
2021,Machadinho D'Oeste,feminino,RO,20122
2021,Machadinho D'Oeste,masculino,RO,21602
2021,Nova Brasilândia D'Oeste,feminino,RO,10130
2021,Nova Brasilândia D'Oeste,masculino,RO,10374
2021,Ouro Preto do Oeste,feminino,RO,18441
2021,Ouro Preto do Oeste,masculino,RO,17004
2021,Pimenta Bueno,feminino,RO,18606
2021,Pimenta Bueno,masculino,RO,18492
2021,Porto Velho,feminino,RO,265102
2021,Porto Velho,masculino,RO,283850
2021,Presidente Médici,feminino,RO,9160
2021,Presidente Médici,masculino,RO,9005
2021,Rio Crespo,feminino,RO,1867
2021,Rio Crespo,masculino,RO,1976
2021,Rolim de Moura,feminino,RO,28605
2021,Rolim de Moura,masculino,RO,27143
2021,Santa Luzia D'Oeste,feminino,RO,2951
2021,Santa Luzia D'Oeste,masculino,RO,2991
2021,Vilhena,feminino,RO,52934
2021,Vilhena,masculino,RO,51583
2021,São Miguel do Guaporé,feminino,RO,11404
2021,São Miguel do Guaporé,masculino,RO,11743
2021,Nova Mamoré,feminino,RO,15748
2021,Nova Mamoré,masculino,RO,16436
2021,Alvorada D'Oeste,feminino,RO,6837
2021,Alvorada D'Oeste,masculino,RO,6970
2021,Alto Alegre dos Parecis,feminino,RO,6518
2021,Alto Alegre dos Parecis,masculino,RO,6750
2021,Alto Paraíso,feminino,RO,10932
2021,Alto Paraíso,masculino,RO,11326
2021,Buritis,feminino,RO,20777
2021,Buritis,masculino,RO,20266
2021,Novo Horizonte do Oeste,feminino,RO,3965
2021,Novo Horizonte do Oeste,masculino,RO,4160
2021,Cacaulândia,feminino,RO,3163
2021,Cacaulândia,masculino,RO,3144
2021,Campo Novo de Rondônia,feminino,RO,6876
2021,Campo Novo de Rondônia,masculino,RO,7515
2021,Candeias do Jamari,feminino,RO,13858
2021,Candeias do Jamari,masculino,RO,14210
2021,Castanheiras,feminino,RO,1467
2021,Castanheiras,masculino,RO,1456
2021,Chupinguaia,feminino,RO,5746
2021,Chupinguaia,masculino,RO,6009
2021,Cujubim,feminino,RO,13152
2021,Cujubim,masculino,RO,13979
2021,Governador Jorge Teixeira,feminino,RO,3548
2021,Governador Jorge Teixeira,masculino,RO,3582
2021,Itapuã do Oeste,feminino,RO,5169
2021,Itapuã do Oeste,masculino,RO,5650
2021,Ministro Andreazza,feminino,RO,4761
2021,Ministro Andreazza,masculino,RO,4700
2021,Mirante da Serra,feminino,RO,5365
2021,Mirante da Serra,masculino,RO,5326
2021,Monte Negro,feminino,RO,7872
2021,Monte Negro,masculino,RO,8286
2021,Nova União,feminino,RO,3292
2021,Nova União,masculino,RO,3530
2021,Parecis,feminino,RO,2933
2021,Parecis,masculino,RO,3386
2021,Pimenteiras do Oeste,feminino,RO,1041
2021,Pimenteiras do Oeste,masculino,RO,1086
2021,Primavera de Rondônia,feminino,RO,1329
2021,Primavera de Rondônia,masculino,RO,1368
2021,São Felipe D'Oeste,feminino,RO,2497
2021,São Felipe D'Oeste,masculino,RO,2465
2021,São Francisco do Guaporé,feminino,RO,10555
2021,São Francisco do Guaporé,masculino,RO,10533
2021,Seringueiras,feminino,RO,5889
2021,Seringueiras,masculino,RO,5957
2021,Teixeirópolis,feminino,RO,2036
2021,Teixeirópolis,masculino,RO,2124
2021,Theobroma,feminino,RO,5052
2021,Theobroma,masculino,RO,5296
2021,Urupá,feminino,RO,5491
2021,Urupá,masculino,RO,5590
2021,Vale do Anari,feminino,RO,5663
2021,Vale do Anari,masculino,RO,5882
2021,Vale do Paraíso,feminino,RO,3269
2021,Vale do Paraíso,masculino,RO,3221
2021,Acrelândia,feminino,AC,7673
2021,Acrelândia,masculino,AC,8048
2021,Assis Brasil,feminino,AC,3881
2021,Assis Brasil,masculino,AC,3768
2021,Brasiléia,feminino,AC,13281
2021,Brasiléia,masculino,AC,13842
2021,Bujari,feminino,AC,5063
2021,Bujari,masculino,AC,5509
2021,Capixaba,feminino,AC,6163
2021,Capixaba,masculino,AC,6117
2021,Cruzeiro do Sul,feminino,AC,45333
2021,Cruzeiro do Sul,masculino,AC,44427
2021,Epitaciolândia,feminino,AC,9456
