ano,nome_municipio,sexo,uf,populacao
2018,Açailândia,feminino,MA,56108
2018,Açailândia,masculino,MA,55649
2018,Afonso Cunha,feminino,MA,3210
2018,Afonso Cunha,masculino,MA,3259
2018,Água Doce do Maranhão,feminino,MA,6079
2018,Água Doce do Maranhão,masculino,MA,6409
2018,Alcântara,feminino,MA,10882
2018,Alcântara,masculino,MA,11201
2018,Aldeias Altas,feminino,MA,12770
2018,Aldeias Altas,masculino,MA,13532
2018,Altamira do Maranhão,feminino,MA,4115
2018,Altamira do Maranhão,masculino,MA,3951
2018,Alto Alegre do Maranhão,feminino,MA,13347
2018,Alto Alegre do Maranhão,masculino,MA,13492
2018,Alto Alegre do Pindaré,feminino,MA,15658
2018,Alto Alegre do Pindaré,masculino,MA,16236
2018,Alto Parnaíba,feminino,MA,5463
2018,Alto Parnaíba,masculino,MA,5705
2018,Amapá do Maranhão,feminino,MA,3466
2018,Amapá do Maranhão,masculino,MA,3452
2018,Amarante do Maranhão,feminino,MA,19884
2018,Amarante do Maranhão,masculino,MA,21252
2018,Anajatuba,feminino,MA,13103
2018,Anajatuba,masculino,MA,13511
2018,Anapurus,feminino,MA,7797
2018,Anapurus,masculino,MA,7769
2018,Apicum-Açu,feminino,MA,8204
2018,Apicum-Açu,masculino,MA,8859
2018,Araguanã,feminino,MA,7626
2018,Araguanã,masculino,MA,7671
2018,Araioses,feminino,MA,22503
2018,Araioses,masculino,MA,23600
2018,Arame,feminino,MA,15548
2018,Arame,masculino,MA,17089
2018,Arari,feminino,MA,15028
2018,Arari,masculino,MA,14736
2018,Axixá,feminino,MA,5989
2018,Axixá,masculino,MA,6087
2018,Bacabal,feminino,MA,55015
2018,Bacabal,masculino,MA,49618
2018,Bacabeira,feminino,MA,8541
2018,Bacabeira,masculino,MA,8314
2018,Bacuri,feminino,MA,9257
2018,Bacuri,masculino,MA,9251
2018,Bacurituba,feminino,MA,2781
2018,Bacurituba,masculino,MA,2836
2018,Balsas,feminino,MA,46966
2018,Balsas,masculino,MA,46860
2018,Barão de Grajaú,feminino,MA,9474
2018,Barão de Grajaú,masculino,MA,9240
2018,Barra do Corda,feminino,MA,44022
2018,Barra do Corda,masculino,MA,43772
2018,Barreirinhas,feminino,MA,30539
2018,Barreirinhas,masculino,MA,31289
2018,Belágua,feminino,MA,3518
2018,Belágua,masculino,MA,3891
2018,Bela Vista do Maranhão,feminino,MA,5614
2018,Bela Vista do Maranhão,masculino,MA,5524
2018,Benedito Leite,feminino,MA,2688
2018,Benedito Leite,masculino,MA,2939
2018,Bequimão,feminino,MA,10623
2018,Bequimão,masculino,MA,10637
